title,url,description
Bustyle x 元朗大會堂 3D 打印展覽 2025 || 3D打印實驗室,https://www.youtube.com/watch?v=HE02L9PxpYw,"感謝元朗大會堂再次邀請舉辦展覽
是次展覽是一個大型3D打印展覽
整個禮堂都是Bustyle Blacktech
精心挑選出來展覽的展品
這次因為新年
還特備了即場3D打印場景
專業攝影即影即有服務
為大家和3D打印留下美好回憶

是次展覽活動推廣包括：
3D打印 STEAM 應用
Bustyle STEAM 課程推廣
3D打印新年打卡場景 及 製作解說
3D打印各應用方法 （碳纖維，矽膠）
碳纖維作品展示
各布織物 x 3D打印突破應用
3D打印模具解說
3D打印 x 樹脂工作坊
3D打印機拆解 分析

影片簡略地帶大家瞬間走一次展覽。
感謝大家支持及到來

---------------------------------------------------------------------------
by: bustyle (HongKong) / black techology (HongKong)
facebook page: Bustyle (@buprint3d) / Black Tech (@blacktecheng)
Instagram: bustyle_3d / blacktech_engineering
e-mail:  bustyletech@gmail.com / peter.ng@blacktech.com.hk
---------------------------------------------------------------------------"
STEAM 教育新玩法 —— 用 micro:bit 編程打造足球車,https://www.youtube.com/watch?v=540TW__01xI,"今天為大家帶來一場精彩的 STEAM 教育之旅。

在這個充滿創意與挑戰的時代，我們致力於為學生提供最前沿的學習體驗。STEAM 教育，融合科學、技術、工程、藝術、3D打印和數學，培養學生的綜合素養和創新能力。

我們的課程以 micro:bit 編程為核心，讓學生親手打造一輛足球車。從設計車的速度、轉彎方法，到探索傳輸信號的奧秘，學生們將在實踐中掌握編程技能，提升邏輯思維，更會用3D打印元素令同學可以建立自己獨特的足球車。

💪課程中，學生們不僅能學到知識，還能培養團隊合作精神。最後一堂課，學生們將操控自己精心製作的足球車進行一場激烈的足球比賽，在競技中感受科技的魅力。

無論是老師尋找新的教學方法，還是學生渴望有趣的學習體驗，我們的 STEAM 課程都是絕佳選擇。快來加入我們，一起開啟這場充滿驚喜的教育冒險吧！"
Bustyle x 元朗大會堂 3D打印展覽,https://www.youtube.com/watch?v=FIa-r7iVT1U,"Bustyle 與 元朗大會堂 舉辦的3D打印展覽
整個禮堂都是 3D 打印 或 3D 打印衍生出來的物品
這條影片簡單地帶過全部作品 及 使用方法

展覽中包括有:
3D打印機 製作 及 拆解
3D打印 FDM 成品展示
3D打印 silicone 製作過程及方法
3D打印 Prototyoe 磁浮列車動力示範
3D打印 碳纖維 工序展示
大量玻璃纖維 及 碳纖維 加工 及 成品展示
各種碳纖維應用實物
3D打印及樹脂工藝成品 及 家俱
3D打印 x STEAM 教學內容 , 教學展示 及 應用
3D打印日常應該方法物件
3D打印 導賞團
3D打印 X 樹脂工藝 ""福"" 新年工作坊

影片中不能詳細地解說, 感謝每一個人的到來及支持"
實心碳纖維斧頭 全製作過程｜香港工業 香港製造｜Bustyle feat. Blacktech,https://www.youtube.com/watch?v=ZbvTPi8CjdI,"100% 一手包辦的生產技術 feat. blacktechology

再次結合3D打印 及 碳纖維技術，
設計、繪圖、打印、打磨、起模、真空倒流、噴塗，
一手包辦，
打造全實心碳纖維斧頭，

對製作程序療如指掌，
就能自行調整成品外觀和維持品質，

配合亂紋碳纖維作面飾，
除了硬件上的力量，
製作上的認真也是勢不可檔，

這是making of + 菠蘿試劈片段，
如果你都想告訴大家香港有自家研發及生產的製作人，
請like, comment 和 share 

---------------------------------------------------------------------------
by: bustyle (HongKong) / black techology (HongKong)
facebook page: Bustyle (@buprint3d) / Black Tech (@blacktecheng)
Instagram: bustyle_3d / blacktech_engineering
e-mail:  bustyletech@gmail.com / peter.ng@blacktech.com.hk
other video: https://www.youtube.com/channel/UCf5O7V9KfIZhqE788s_bwbw
---------------------------------------------------------------------------"
3D Printed Filament holder on 2040 Aluminum,https://www.youtube.com/watch?v=f8-Im3Aonbk,"因為常常砌機, 很多剩下的2040鋁材
太短又做不了什麼
最後決定配合3D打印設計一個Filament Holder =D
也開放下載的, 想用便拿去下載吧!!!

3D Printed part with 2040 Aluminum 
Its my design 3D Print Filament Holder
Free download on Thingiverse now!!
Enjoy!

V Bustyle Link Tree V
https://linktr.ee/bustyle3d

Download Here
https://www.thingiverse.com/thing:5182815

---------------------------------------------------------------------------
by: bustyle (HongKong)
facebook page: Bustyle (@buprint3d)
Instagram: bustyle_3d
e-mail:  bustyletech@gmail.com
other video: https://www.youtube.com/playlist?list=PLXu5tCyzvs_veld_f-Y3yHUFkCifTpVzO
---------------------------------------------------------------------------"
兩人座 熔岩系樹脂相思木櫈 製作過程 | 香港製造| Bustyle,https://www.youtube.com/watch?v=CyxL2B_Glw4,"打風時期回收之相思木
現代人坐低通常都係一人一椅
有日見到old school既功夫櫈
心血來潮
就整返個new style既功夫櫈😂
今次主題是熔岩邊的遺棄木材
特登整左慢慢流動高熱火焰的感覺 

全製作過程剪輯成了影片😀
Thanks for watching

Also like share subscription

有興趣可以到我的FB IG看看喔
Please go to my Faceboom and Instagram for more details.
Facebook : Bustyle (@buprint3d)
Instagram : Bustyle_3d"
白蘭木湖綠河流桌製作過程 | 香港製造 | Bustyle,https://www.youtube.com/watch?v=NkmG23Uo3Gc,"這是打風時期的木材
回收回來作書枱了🙂
配上墨綠色湖水的Resin製作
以突顯木材之美及質感❤

特地拍攝及剪輯了製作過程
跟大家分享一下😛

This is picked on street when there was typhoon.
It is now made to be a blue-green resin table.
This is the making process. Enjoy 😉 

有興趣可以到我的FB IG看看喔
Please go to my Faceboom and Instagram for more details.
Facebook : Bustyle (@buprint3d)
Instagram : Bustyle_3d"
熱血騎士！電單車碳纖維燈罩製作過程 Honda CB300R forged carbonfiber headlight [by Bustyle feat. BlackTech],https://www.youtube.com/watch?v=WT2WCnoR-hE,"男士都愛車吧！

HONDA CB300R motor bike 🏍
運用3D打印同碳纖維技術配合及安裝
今次客人揀咗質感用啞面碳纖亂紋，

自己心愛嘅車，
每一吋地方都要仔細🔥
同款車既車友，需要可DM查詢

以下LINK可連至本人IG查詢
https://linktr.ee/bustyle3d

Boys love cars!

HONDA CB300R motor bike 🏍
Using 3D printed and carbon fiber techology
matted finish avaliable

Let’s make every details your style!🔥
DM if interested (link above)

---------------------------------------------------------------------------
by: bustyle (HongKong) / black techology (HongKong)
facebook page: Bustyle (@buprint3d) / Black Tech (@blacktecheng)
Instagram: bustyle_3d / blacktech_engineering
e-mail:  bustyletech@gmail.com / peter.ng@blacktech.com.hk
other video: https://www.youtube.com/playlist?list=PLXu5tCyzvs_veld_f-Y3yHUFkCifTpVzO
---------------------------------------------------------------------------"
3D printed Devil May Cry 5 'Red Queen' showcase【by Bustyle】,https://www.youtube.com/watch?v=e2bHd3IcNxM,"This is 3D Printing Devil May Cry 5 Red Queen
Model is not my draw / design
3d Printing, post process, paint
Hope you enjoy the video

感謝支持! 
Please Subscribe and like !=D
Thanks !
---------------------------------------------------------------------------
by: bustyle (HongKong)
facebook page: Bustyle (@buprint3d)
Instagram: bustyle_3d
e-mail:  bustyletech@gmail.com
other video: https://www.youtube.com/playlist?list=PLXu5tCyzvs_veld_f-Y3yHUFkCifTpVzO
---------------------------------------------------------------------------"
5. 3D打印入門 || 3D打印結構【by Bustyle】,https://www.youtube.com/watch?v=fRgldKGjZx0,"大家好!! 入門系列第5集!
今次講既係3D打印既結構
因為不同方法打印
會有不同的結構,也有不同的硬度喔

此方法除了更硬之外
如果受力點破壞,都只會破壞榫位
而不會破壞模型本身 (簡單來說就是不用再重新打印幾個小時)
希望片中介紹的方法能幫助大家=]

感謝支持! 
Please Subscribe share like !=D
Thanks !
---------------------------------------------------------------------------
by: bustyle (HongKong)
facebook page: Bustyle
Instagram: bustyle_3d
e-mail:  bulutang@gmail.com
其他教學片段: https://www.youtube.com/playlist?list=PLXu5tCyzvs_vABPsUrC2ZhgkVB7mnnfJT
other video: https://www.youtube.com/playlist?list=PLXu5tCyzvs_veld_f-Y3yHUFkCifTpVzO
---------------------------------------------------------------------------"
